id,name
6364,Polar Music International
35,Lions Gate Films
4606,Zweites Deutsches Fernsehen (ZDF)
55330,Canafox Films
16192,Hera Productions
5017,Mars Production Corporation
17763,Sunchild Productions
92213,G.M.F. Productions
3894,Kentucky Fried Theatre
15459,Blood Relations Co.
2880,Charm City Productions
5155,PSC
74023,United Enterprise (H.K.) Corp.
538,EMI Films Ltd.
65157,Cyclops
51861,Dovemead Films
51862,Film Export A.G.
14323,Compass International Pictures
22814,Falcon International Productions
83715,Dawn Associates
21118,Shelburne Associates
16058,Da Ma Produzione
15058,Casablanca Filmworks
17794,Cinemagic Pictures
2730,Motown Productions
3143,Smith-Hemion Productions
24206,Film Concorde
1950,New World Pictures
11561,Recorded Picture Company (RPC)
14698,Jeremy Thomas Productions
6905,Glen A. Larson Productions
734,Producers Circle
1155,Incorporated Television Company
13298,Oregon Film Factory
13300,Stage III Productions
1581,Mersham Productions
5016,Nepenthe Productions
47264,Watership Productions
7447,Personafilm
15980,Incorporated Television Company (ITC)
17085,Filmédis
26239,Suede Film
2537,Kennedy Miller Productions
8831,Mad Max Films
11962,Crossroads
168,Jadran Film
1521,Artemis Film
1548,Franz Seitz Filmproduktion
5982,Bioskop Film
12838,Film Polski
59351,Hallelujah Films
59352,GGB-14
22540,New Breed Productions
630,IPC Films
41,Orion Pictures
19747,Brandywine Productions
26663,Zoetrope Studios
14309,CIP Filmproduktion GmbH
1951,Aspen Film Society
30062,Greydon Clark Productions
20076,HandMade Films
58752,Python (Monty) Pictures
14312,Polytel
14313,The Who Films
1176,Lorimar Film Entertainment
7025,Westdeutscher Rundfunk (WDR)
8568,Albatros Filmproduktion
10482,Trio Films
11625,Fengler Films
8171,Institut National de l'Audiovisuel (INA)
14590,New South Wales Film Corp.
37553,Margaret Fink Productions
38670,Greater Union Organisation (GUO)
8165,Televicine S.A. de C.V.
16131,Dialchi Film
16132,Lotus Films
11116,The Bryna Company
3543,Ninth Configuration
15064,Leisure Investment Company
15065,Movie Ventures
495,EDI
498,Debra Hill Productions
13100,CiP - Europaische Treuhand AG
16779,Georgetown Productions Inc.
16914,Famous Players Limited
25762,Selta Films
25765,International Cinema Corporation (ICC)
25766,Cine-Neighbor
1660,Fígaro Films
17893,F.D. Cinematografica
23126,Starling Films
13682,Fulvia Film
55642,The Andre Company
55643,Saga Productions Inc.
502,International Film Investors
10312,Wescom Productions
467,Renaissance Pictures
7965,The Ladd Company
500,Goldcrest Films International
664,City Film
5612,Brooksfilms
8846,Peerford Ltd.
6231,London-Cannon Films
7358,Cine Artist Film GmbH
77468,Cine-Source
11142,Cinema Group Ventures
15706,Phoenix (II)
55005,The Birthday Film Company
73820,Frontera Films S.A.
553,Barclays Mercantile Industrial Finance
44485,JRS Productions
20858,Navaron Films
7966,Outland Productions
1549,Opera Film Produzione
13765,Lake Films
13766,Scottish Television (STV)
14314,Jupiter Film Productions
1001,Solaris Film
39822,CLV-Filmproduktions
39823,Popular Filmproduktion
209,Radiant Film GmbH
210,Süddeutscher Rundfunk
11344,Twin Bros. Productions
79707,Hallmark Hall of Fame
1819,Cinema 77
7049,Enigma Productions
8770,"Allied Stars, Ltd."
3823,TF1 Films Production
146,Handmade Films Ltd.
5848,Columbia Pictures Industries
999,Belstar Productions
2359,Stéphan Films
24931,Henson Associates (HA)
276,Guber/Peters Company
606,American Werewolf Inc.
607,Lyncanthrope Films
396,SLM Production Group
16778,Jaquet
13549,Golan-Globus Productions
8794,Refugee Films
56,Amblin Entertainment
3221,Sveriges Television (SVT)
4361,RKO Pictures
1448,Pro-ject Filmproduktion
8366,Road Movies Filmproduktion
11895,Artificial Eye
23722,V.O. Filmes
27992,Wim Wenders Productions
77946,Gray City
77947,Pari Films
77948,Musidora Films
77949,Film International
8834,Tin Blue
964,Keith Barish Productions
2504,Jim Henson Productions
662,Turman-Foster Company
32178,Aurora
90400,Mrs. Brisby Ltd.
90512,Don Bluth Productions
16644,IRE Productions
16645,Santa Fe Institute for Regional Education
67508,Domestic Productions
44428,Katzka
4804,Almena Films
4805,Film Ventures International (FVI)
6082,Filmirage
11480,Montoro Productions Ltd.
22592,Fort Films
