id,name,gender
50961,Ben Maddow,0
106608,Mikel Conrad,2
1071180,Howard Irving Young,2
123385,Eijirô Hisaita,0
10346,Robert Bresson,2
40199,Anthony Mann,2
15127,Luchino Visconti,0
87267,Francesco Rosi,2
13973,Christian Nyby,2
19606,Jean Negulesco,2
12494,Czenzi Ormonde,0
12277,Edmund H. North,2
31849,José Antonio Nieves Conde,2
7335,Walter Newman,2
27968,Alan Jay Lerner,2
105017,Mel Dinelli,2
21223,Tom Lewis,2
6596,James Agee,2
4066,Carl Foreman,2
87668,Alfred Hayes,2
14567,Clifford Odets,2
112995,John Boulting,2
41416,Eric Ambler,2
9740,René Clément,2
24662,François Boyer,0
30491,Frank S. Nugent,2
5763,Jacques Tati,2
44763,Edward D. Wood Jr.,2
46617,Ida Lupino,1
96246,Collier Young,0
27920,Charles Frend,2
11994,Ian McLellan Hunter,2
89981,László Benedek,2
146881,Per Anders Fogelström,0
82862,Sydney Boehm,0
20600,Daniel Taradash,2
55868,James Jones,2
51000,Byron Haskin,2
47755,Barré Lyndon,0
148560,Norman Corwin,0
14053,Harry Kleiner,2
105793,George Tabori,2
80462,William Archibald,2
240,Stanley Kubrick,2
16188,Howard Sackler,2
26959,Samuel Fuller,0
89785,Ron Ormond,2
89787,Herbert Tevos,0
76381,David Butler,2
2562,Jérôme Géronimi,2
14687,J.M. Barrie,0
71522,Juan Antonio Bardem,2
1931,George Axelrod,2
90370,Herbert J. Biberman,2
13267,Michael Wilson,2
51677,Gordon Douglas,2
68089,Ted Sherdeman,2
70709,Joy Batchelor,1
70707,John Halas,2
70719,Borden Mace,0
70720,Philip Stapp,2
70721,Lothar Wolff,0
33883,Jack Arnold,2
67686,Harry Essex,2
67687,Arthur A. Ross,2
2637,Ernest Lehman,2
5181,John Michael Hayes,2
30522,Robert Carson,2
30523,Moss Hart,0
134381,Masashige Narusawa,0
2087,Richard Fleischer,0
2089,Earl Felton,2
103393,Jacques Becker,2
27845,Vitaliano Brancati,0
9850,Budd Schulberg,2
65481,Valentine Davies,2
223791,Pietro Francisci,2
25316,Ennio De Concini,0
21544,Richard C. Sarafian,0
18598,Ishirô Honda,0
18606,Takeo Murata,0
31069,Dorothy Kingsley,0
20827,Hideo Oguni,2
125690,Mikio Naruse,0
86659,Peter Glenville,2
10921,Charles Laughton,0
14227,Jules Dassin,0
14229,René Wheeler,0
14228,Auguste Le Breton,0
56926,Robert M. Fresco,0
56927,Martin Berkeley,2
12327,Joseph M. Newman,2
12342,Franklin Coen,2
31068,Helen Deutsch,1
122963,Phoebe Ephron,0
122964,Henry Ephron,0
20412,Michael Anderson,2
67451,Delbert Mann,2
31498,Paddy Chayefsky,2
18907,Richard Quine,2
1927,Blake Edwards,2
18603,Motoyoshi Oda,0
5837,Don DaGradi,0
148822,Ralph Wright,2
32108,Albert Husson,2
14502,John Ireland,2
85758,Edward Sampson,0
85760,Jean Howell,0
85761,Jerome Odlum,0
14566,Alexander Mackendrick,2
21008,William Rose,2
43788,Jimmy O'Connor,0
12160,Satyajit Ray,2
117732,Alex Gordon,2
102429,Roger Corman,2
52140,Charles B. Griffith,2
98447,Mark Hanna,0
41704,Jack Pollexfen,2
117704,Sue Dwiggins,0
117705,Vy Russell,0
30464,Takeshi Kimura,0
86051,Joshua Logan,2
80570,Walter Lang,2
3638,James Poe,2
2088,Jules Verne,2
70298,Mario Camerini,2
25798,Ivo Perilli,0
70299,Gian Gaspare Napolitano,0
70300,Mario Soldati,2
120925,Robert Westerby,2
21598,Ralph Thomas,2
137973,Nigel Balchin,2
14773,Don Siegel,2
69812,Richard Collins,2
27919,Jesse Lasky Jr.,2
51308,Jack Gariss,0
97183,Fredric M. Frank,2
12303,Cyril Hume,2
9858,Richard Maibaum,2
185660,Carlos Arniches,0
12300,Fred M. Wilcox,2
53767,Roger Vadim,2
37775,Raoul Lévy,0
40184,Philip Leacock,2
1120518,John Bryan,0
87748,Lesley Storm,0
123099,José María Forqué,2
5397,Ennio Flaiano,2
5396,Tullio Pinelli,2
5970,Pier Paolo Pasolini,2
108764,Mikhail Kalatozov,2
1111295,Viktor Rozov,0
218437,Leonard Gershe,0
1052612,Tyrone Guthrie,0
1201814,William Butler Yeats,2
19328,Dick Powell,2
844,Wendell Mayes,2
12415,Richard Matheson,2
86372,Richard Alan Simmons,2
8514,Robert Parrish,2
106607,Irwin Shaw,0
2801,Andrzej Wajda,2
1003232,Jerzy Stefan Stawiński,2
59832,Hal E. Chester,2
240006,Fred Gipson,2
165517,William Tunberg,0
137992,Terence Rattigan,0
10769,Calder Willingham,0
3335,Jim Thompson,2
17843,Harry Kurnitz,2
39996,Sidney Lumet,0
5246,Reginald Rose,2
31764,Edward L. Cahn,2
15951,Jerome Bixby,2
37770,Claude Autant-Lara,2
40531,Jean Aurenche,2
34822,Pierre Bost,0
24534,Georges Simenon,2
70565,Kurt Neumann,2
46611,James Clavell,2
239293,Paolo Heusch,0
23359,Marcello Coscia,0
21228,Sandro Continenza,0
19573,John Gay,2
5774,Jacques Lagrange,0
5775,Jean L'Hôte,0
29662,Terence Fisher,2
30700,Jimmy Sangster,2
19708,Albert Band,2
1019068,Louis Garfinkle,0
87521,Morton DaCosta,0
587254,James L. Wolcott,0
587256,Cedric Rutherford,0
5735,Alec Coppel,2
5736,Samuel A. Taylor,2
117147,Henry Cass,0
53859,Karel Zeman,2
55736,František Hrubín,0
1237020,Fay Kanin,0
4081,Stanley Kramer,2
69319,Nedrick Young,0
69320,Harold Jacob Smith,2
3632,Richard Brooks,2
109846,Alex Nicol,2
139915,John Kneubuhl,0
18611,Shinichi Sekizawa,2
1369247,I.A.L. Diamond,0
